base_card_uuid,uuid,face_change,name,type,power,toughness,loyalty,keywords,rules_text,flavor_text
002ad179-ddf4-4f48-9504-cfa02e11a52e,81682c75-0c38-4ec0-a7ad-55013af9ea02,art_series,Clearwater Pathway,Card,NULL,NULL,NULL,NULL,NULL,NULL
008b1ea5-1a8d-4a9d-b208-421fea2f9c58,eaf2be16-1fc5-488d-a419-63315bc2121a,transform,"Nissa, Sage Animist",Legendary Planeswalker -- Nissa,NULL,NULL,3,NULL,"+1: Reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put it into your hand.\n -- 2: Create Ashaya, the Awoken World, a legendary 4/4 green Elemental creature token.\n -- 7: Untap up to six target lands. They become 6/6 Elemental creatures. They're still lands.",NULL
014027c4-7f9d-4096-b308-ea4be574c0d4,45d18409-9681-4441-b68c-301dd7c43ea3,modal_dfc,Skyclave Basilica,Land,NULL,NULL,NULL,NULL,Skyclave Basilica enters the battlefield tapped.\n{T}: Add {W}.,"""As points of no return go, it is quite epic.""\n -- Aelah, expedition cleric"
019ee55a-d8bc-4aab-a3cf-20f761722dd5,190bb7ab-aa87-40ab-a821-e24a02dc78eb,art_series,Ephemerate,Card,NULL,NULL,NULL,NULL,NULL,NULL
028aeebc-4073-4595-94da-02f9f96ea148,49b30db1-73dd-4538-a4ab-78f59036fd6a,transform,Merciless Predator,Creature -- Werewolf,3,2,NULL,Transform,"At the beginning of each upkeep, if a player cast two or more spells last turn, transform Merciless Predator.","""Before she just wanted to snatch your purse; now she'll take the whole arm."""
029a7c2b-3cda-4a23-af77-62948593e433,7e54d3e4-2b78-4d75-8b0e-53bec47685ef,transform,Werewolf of Ancient Hunger,Creature -- Werewolf,*,*,NULL,"Vigilance,Transform,Trample","Vigilance, trample\nWerewolf of Ancient Hunger's power and toughness are each equal to the total number of cards in all players' hands.\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Werewolf of Ancient Hunger.",NULL
02bb4b2a-3c9f-48ab-b2a5-ae31f06b82d9,96de8df7-5751-43ec-8c58-57db75b0763b,transform,Conqueror's Foothold,Land,NULL,NULL,NULL,Crew,"(Transforms from Conqueror's Galleon.)\n{T}: Add {C}.\n{2}, {T}: Draw a card, then discard a card.\n{4}, {T}: Draw a card.\n{6}, {T}: Return target card from your graveyard to your hand.",NULL
02d6d693-f1f3-4317-bcc0-c21fa8490d38,b8cabf47-09be-4288-8d1e-07f0ea34b4fb,transform,"Jace, Telepath Unbound",Legendary Planeswalker -- Jace,NULL,NULL,5,Mill,"+1: Up to one target creature gets -2/-0 until your next turn.\n -- 3: You may cast target instant or sorcery card from your graveyard this turn. If that spell would be put into your graveyard this turn, exile it instead.\n -- 9: You get an emblem with ""Whenever you cast a spell, target opponent mills five cards."" ",NULL
04ca6ce5-0641-47ab-81f0-3b8ad59b88da,6497e057-f884-481b-8ffb-b19fef7574b8,art_series,Ravenous Giant,Card,NULL,NULL,NULL,NULL,NULL,NULL
050602c0-b5b7-4076-af33-0f7a58d0b260,40e71da9-2db1-471e-b270-a1231f95a281,modal_dfc,Timbercrown Pathway,Land,NULL,NULL,NULL,NULL,{T}: Add {G}.,NULL
0511e232-2a72-40f5-a400-4f7ebc442d17,0d92c951-b865-4b2f-bfa8-f29aa6e8f129,modal_dfc,Boulderloft Pathway,Land,NULL,NULL,NULL,NULL,{T}: Add {W}.,"""The path is stable. It's the gusts all around it that are a bit 'whoosh -- oops -- bye.'""\n -- Kreq of Sunder Bay"
0529769c-b70e-4856-a8ad-59c304d90e3a,d63804fb-da63-4889-83dd-0602a18c12ca,transform,Spires of Orazca,Land,NULL,NULL,NULL,Transform,(Transforms from Thaumatic Compass.)\n{T}: Add {C}.\n{T}: Untap target attacking creature an opponent controls and remove it from combat.,""". . . a cryptic objective.""\n -- Jace Beleren"
05762685-a80f-44f2-a23d-24e97c375e04,2fe2a048-bd22-47d8-ac9c-ec3e36a19823,art_series,Wasteland,Card,NULL,NULL,NULL,NULL,NULL,NULL
05934d59-7e98-4fff-8ccb-70cd1a61c6fd,0cecccac-f75f-48ad-ae13-a9c26239a41b,double_faced_token,Treasure,Token Artifact -- Treasure,NULL,NULL,NULL,Lifelink,"{T}, Sacrifice this artifact: Add one mana of any color.",NULL
05e2a5e6-3aaa-4096-bdd0-fcc1afe5a36c,e8cace2d-fe07-425f-999e-64d0213b49cd,transform,"Adanto, the First Fort",Legendary Land,NULL,NULL,NULL,Transform,"(Transforms from Legion's Landing.)\n{T}: Add {W}.\n{2}{W}, {T}: Create a 1/1 white Vampire creature token with lifelink.",NULL
078b2103-15ce-456d-b092-352fa7222935,5f83af64-417f-424b-af6d-d563fd496bab,transform,Aurora of Emrakul,Creature -- Eldrazi Reflection,1,4,NULL,"Deathtouch,Flying,Transform","Flying, deathtouch\nWhenever Aurora of Emrakul attacks, each opponent loses 3 life.","""I felt compelled to take the twisted stone, and I abandoned my horse's burden to accommodate its weight. Now, its continued glow illuminates my home and warms my mind.""\n -- Garner Kroft, Moorland farmer"
