id,base_card_uuid,face_change,name,type,power,toughness,loyalty,mana_cost,keywords,rules_text,flavor_text
1,002ad179-ddf4-4f48-9504-cfa02e11a52e,art_series,Clearwater Pathway,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,008b1ea5-1a8d-4a9d-b208-421fea2f9c58,transform,"Nissa, Sage Animist",Legendary Planeswalker -- Nissa,NULL,NULL,3,NULL,NULL,"+1: Reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put it into your hand.\n -- 2: Create Ashaya, the Awoken World, a legendary 4/4 green Elemental creature token.\n -- 7: Untap up to six target lands. They become 6/6 Elemental creatures. They're still lands.",NULL
3,014027c4-7f9d-4096-b308-ea4be574c0d4,modal_dfc,Skyclave Basilica,Land,NULL,NULL,NULL,NULL,NULL,Skyclave Basilica enters the battlefield tapped.\n{T}: Add {W}.,"""As points of no return go, it is quite epic.""\n -- Aelah, expedition cleric"
4,019ee55a-d8bc-4aab-a3cf-20f761722dd5,art_series,Ephemerate,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,028aeebc-4073-4595-94da-02f9f96ea148,transform,Merciless Predator,Creature -- Werewolf,3,2,NULL,NULL,Transform,"At the beginning of each upkeep, if a player cast two or more spells last turn, transform Merciless Predator.","""Before she just wanted to snatch your purse; now she'll take the whole arm."""
6,029a7c2b-3cda-4a23-af77-62948593e433,transform,Werewolf of Ancient Hunger,Creature -- Werewolf,*,*,NULL,NULL,"Vigilance,Transform,Trample","Vigilance, trample\nWerewolf of Ancient Hunger's power and toughness are each equal to the total number of cards in all players' hands.\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Werewolf of Ancient Hunger.",NULL
7,02bb4b2a-3c9f-48ab-b2a5-ae31f06b82d9,transform,Conqueror's Foothold,Land,NULL,NULL,NULL,NULL,Crew,"(Transforms from Conqueror's Galleon.)\n{T}: Add {C}.\n{2}, {T}: Draw a card, then discard a card.\n{4}, {T}: Draw a card.\n{6}, {T}: Return target card from your graveyard to your hand.",NULL
8,02d6d693-f1f3-4317-bcc0-c21fa8490d38,transform,"Jace, Telepath Unbound",Legendary Planeswalker -- Jace,NULL,NULL,5,NULL,Mill,"+1: Up to one target creature gets -2/-0 until your next turn.\n -- 3: You may cast target instant or sorcery card from your graveyard this turn. If that spell would be put into your graveyard this turn, exile it instead.\n -- 9: You get an emblem with ""Whenever you cast a spell, target opponent mills five cards."" ",NULL
9,04ca6ce5-0641-47ab-81f0-3b8ad59b88da,art_series,Ravenous Giant,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,050602c0-b5b7-4076-af33-0f7a58d0b260,modal_dfc,Timbercrown Pathway,Land,NULL,NULL,NULL,NULL,NULL,{T}: Add {G}.,NULL
